kext,Esc
1.908542144006682e-02,4.980661869049072e-01
2.069138081114790e-02,4.756179302930832e-01
2.243247502898416e-02,4.531014114618301e-01
2.432007513267950e-02,4.307558238506317e-01
2.636650898730356e-02,4.087153077125549e-01
2.858514179684466e-02,3.869308680295944e-01
3.099046339199427e-02,3.656814992427826e-01
3.359818286283774e-02,3.449098914861679e-01
3.642533115449638e-02,3.246917128562927e-01
3.949037229576693e-02,3.052568286657333e-01
4.281332398719396e-02,2.864318042993546e-01
4.641588833612773e-02,2.685758173465729e-01
5.032159359259978e-02,2.513629794120789e-01
5.455594781168514e-02,2.349437773227692e-01
5.914660544591734e-02,2.193941324949265e-01
6.412354795576918e-02,2.047560960054398e-01
6.951927961775591e-02,1.907930225133896e-01
7.536903980898542e-02,1.776148527860641e-01
8.171103315457187e-02,1.654432862997055e-01
8.858667904100832e-02,1.538192331790924e-01
9.604088212505368e-02,1.430086791515350e-01
1.041223256048302e-01,1.327581107616425e-01
1.128837891684688e-01,1.233353316783905e-01
1.223824936968190e-01,1.143552362918854e-01
1.326804749714725e-01,1.060759872198105e-01
1.438449888287660e-01,9.829947352409363e-02
1.559489504058283e-01,9.107011556625366e-02
1.690714103473578e-01,8.434796333312988e-02
1.832980710832438e-01,7.811415195465088e-02
1.987218465488053e-01,7.231266796588898e-02
2.154434690031878e-01,6.696027517318726e-02
2.335721469090121e-01,6.195880472660065e-02
2.532262781698789e-01,5.722725391387939e-02
2.745342233838715e-01,5.297096073627472e-02
2.976351441631313e-01,4.897600412368774e-02
3.226799119945812e-01,4.525591433048248e-02
3.498320935775032e-01,4.188176989555359e-02
3.792690190732238e-01,3.868858516216278e-02
4.111829402435829e-01,3.575900197029114e-02
4.457822860419697e-01,3.300635516643524e-02
4.832930238571752e-01,3.050000965595245e-02
5.239601353002634e-01,2.817223966121674e-02
5.680492161728429e-01,2.601152658462524e-02
6.158482110660255e-01,2.401940524578094e-02
6.676692939187543e-01,2.218307554721832e-02
7.238509068173248e-01,2.044287323951721e-02
7.847599703514591e-01,1.891189813613892e-02
8.507942799627445e-01,1.748441159725189e-02
9.223851039358457e-01,1.613464951515198e-02
1.000000000000000e+00,1.485984027385712e-02
1.084145868935833e+00,1.371246576309204e-02
1.175372265130637e+00,1.267154514789581e-02
1.274274985703132e+00,1.168334484100342e-02
1.381499961638318e+00,1.080457866191864e-02
1.497747476345200e+00,9.975135326385498e-03
1.623776739188718e+00,9.175047278404236e-03
1.760410843865553e+00,8.462145924568176e-03
1.908542144006682e+00,7.848724722862244e-03
2.069138081114790e+00,7.220581173896790e-03
2.243247502898416e+00,6.655320525169373e-03
2.432007513267950e+00,6.154656410217285e-03
2.636650898730355e+00,5.675509572029114e-03
2.858514179684466e+00,5.240812897682190e-03
3.099046339199427e+00,4.815906286239624e-03
3.359818286283774e+00,4.452854394912720e-03
3.642533115449638e+00,4.101425409317017e-03
3.949037229576694e+00,3.796055912971497e-03
4.281332398719396e+00,3.489539027214050e-03
4.641588833612772e+00,3.224283456802368e-03
5.032159359259978e+00,2.979561686515808e-03
5.455594781168514e+00,2.745553851127625e-03
5.914660544591734e+00,2.522662281990051e-03
6.412354795576917e+00,2.333566546440125e-03
6.951927961775591e+00,2.140611410140991e-03
7.536903980898542e+00,1.979157328605652e-03
8.171103315457186e+00,1.836210489273071e-03
8.858667904100797e+00,1.694142818450928e-03
9.604088212505369e+00,1.561284065246582e-03
1.041223256048302e+01,1.440301537513733e-03
1.128837891684688e+01,1.326933503150940e-03
1.223824936968190e+01,1.232236623764038e-03
1.326804749714724e+01,1.131817698478699e-03
1.438449888287660e+01,1.041725277900696e-03
1.559489504058283e+01,9.648799896240234e-04
1.690714103473578e+01,8.853375911712646e-04
1.832980710832430e+01,8.125752210617065e-04
1.987218465488053e+01,7.549971342086792e-04
2.154434690031878e+01,6.979703903198242e-04
2.335721469090121e+01,6.376653909683228e-04
2.532262781698789e+01,5.918890237808228e-04
2.745342233838714e+01,5.479604005813599e-04
2.976351441631313e+01,5.070418119430542e-04
3.226799119945812e+01,4.648566246032715e-04
3.498320935775033e+01,4.259645938873291e-04
3.792690190732238e+01,3.972649574279785e-04
4.111829402435828e+01,3.669559955596924e-04
4.457822860419697e+01,3.305226564407349e-04
4.832930238571752e+01,3.102421760559082e-04
5.239601353002634e+01,2.878159284591675e-04
5.680492161728429e+01,2.653300762176514e-04
6.158482110660255e+01,2.432316541671753e-04
6.676692939187544e+01,2.253949642181396e-04
7.238509068173248e+01,2.097189426422119e-04
7.847599703514591e+01,1.905709505081177e-04
8.507942799627445e+01,1.761764287948608e-04
9.223851039358458e+01,1.614242792129517e-04
1.000000000000000e+02,1.500248908996582e-04
1.084145868935833e+02,1.385509967803955e-04
1.175372265130632e+02,1.286864280700684e-04
1.274274985703132e+02,1.179575920104980e-04
1.381499961638318e+02,1.071840524673462e-04
1.497747476345200e+02,1.008212566375732e-04
1.623776739188717e+02,9.275972843170166e-05
1.760410843865553e+02,8.647143840789795e-05
1.908542144006682e+02,7.908046245574951e-05
2.069138081114790e+02,7.273256778717041e-05
2.243247502898416e+02,6.617605686187744e-05
2.432007513267940e+02,6.060302257537842e-05
2.636650898730355e+02,5.617737770080566e-05
2.858514179684466e+02,5.243718624114990e-05
3.099046339199427e+02,4.942715167999268e-05
3.359818286283774e+02,4.500150680541992e-05
3.642533115449638e+02,4.211068153381348e-05
3.949037229576693e+02,3.831088542938232e-05
4.281332398719396e+02,3.571808338165283e-05
4.641588833612773e+02,3.224611282348633e-05
5.032159359259978e+02,2.963840961456299e-05
5.455594781168514e+02,2.862513065338135e-05
5.914660544591734e+02,2.537667751312256e-05
6.412354795576917e+02,2.247095108032227e-05
6.951927961775591e+02,2.071261405944824e-05
7.536903980898542e+02,1.965463161468506e-05
8.171103315457186e+02,1.797080039978027e-05
8.858667904100796e+02,1.691281795501709e-05
9.604088212505369e+02,1.652538776397705e-05
1.041223256048302e+03,1.411139965057373e-05
1.128837891684688e+03,1.259148120880127e-05
1.223824936968190e+03,1.209974288940430e-05
1.326804749714724e+03,1.165270805358887e-05
1.438449888287660e+03,1.019239425659180e-05
1.559489504058277e+03,9.998679161071777e-06
1.690714103473578e+03,8.821487426757812e-06
1.832980710832430e+03,8.061528205871582e-06
1.987218465488053e+03,7.718801498413086e-06
2.154434690031878e+03,6.511807441711426e-06
2.335721469090121e+03,6.482005119323730e-06
2.532262781698789e+03,6.154179573059082e-06
2.745342233838714e+03,5.602836608886719e-06
2.976351441631313e+03,4.902482032775879e-06
3.226799119945798e+03,4.872679710388184e-06
3.498320935775032e+03,4.306435585021973e-06
3.792690190732238e+03,3.993511199951172e-06
4.111829402435828e+03,3.799796104431152e-06
4.457822860419697e+03,3.486871719360352e-06
4.832930238571752e+03,2.831220626831055e-06
5.239601353002634e+03,3.099441528320312e-06
5.680492161728429e+03,2.786517143249512e-06
6.158482110660255e+03,2.309679985046387e-06
6.676692939187543e+03,2.041459083557129e-06
7.238509068173247e+03,2.115964889526367e-06
7.847599703514591e+03,1.743435859680176e-06
8.507942799627444e+03,1.803040504455566e-06
9.223851039358458e+03,1.683831214904785e-06
1.000000000000000e+04,1.460313796997070e-06
