kext,Esc
2.636650898730356e-02,3.421679139137268e-01
2.858514179684466e-02,3.221218287944794e-01
3.099046339199427e-02,3.027381449937820e-01
3.359818286283774e-02,2.841178029775620e-01
3.642533115449638e-02,2.661042362451553e-01
3.949037229576693e-02,2.490209788084030e-01
4.281332398719396e-02,2.326059341430664e-01
4.641588833612773e-02,2.170920968055725e-01
5.032159359259978e-02,2.023095041513443e-01
5.455594781168514e-02,1.884378343820572e-01
5.914660544591734e-02,1.753819584846497e-01
6.412354795576918e-02,1.630777120590210e-01
6.951927961775591e-02,1.515727639198303e-01
7.536903980898542e-02,1.407351344823837e-01
8.171103315457187e-02,1.306400150060654e-01
8.858667904100832e-02,1.212024092674255e-01
9.604088212505368e-02,1.124077737331390e-01
1.041223256048302e-01,1.041768640279770e-01
1.128837891684688e-01,9.646470844745636e-02
1.223824936968190e-01,8.939145505428314e-02
1.326804749714725e-01,8.278018236160278e-02
1.438449888287660e-01,7.658426463603973e-02
1.559489504058283e-01,7.093220949172974e-02
1.690714103473578e-01,6.555822491645813e-02
1.832980710832438e-01,6.067773699760437e-02
1.987218465488053e-01,5.608160793781281e-02
2.154434690031878e-01,5.183191597461700e-02
2.335721469090121e-01,4.789996147155762e-02
2.532262781698789e-01,4.426871240139008e-02
2.745342233838715e-01,4.091449081897736e-02
2.976351441631313e-01,3.781265020370483e-02
3.226799119945812e-01,3.492791950702667e-02
3.498320935775032e-01,3.223779797554016e-02
3.792690190732238e-01,2.985210716724396e-02
4.111829402435829e-01,2.748985588550568e-02
4.457822860419697e-01,2.543592453002930e-02
4.832930238571752e-01,2.345143258571625e-02
5.239601353002634e-01,2.165646851062775e-02
5.680492161728429e-01,2.000769972801208e-02
6.158482110660255e-01,1.840890944004059e-02
6.676692939187543e-01,1.701231300830841e-02
7.238509068173248e-01,1.573689281940460e-02
7.847599703514591e-01,1.451984047889709e-02
8.507942799627445e-01,1.342049241065979e-02
9.223851039358457e-01,1.237557828426361e-02
1.000000000000000e+00,1.142320036888123e-02
1.084145868935833e+00,1.052638888359070e-02
1.175372265130637e+00,9.701430797576904e-03
1.274274985703132e+00,8.967906236648560e-03
1.381499961638318e+00,8.268356323242188e-03
1.497747476345200e+00,7.646620273590088e-03
1.623776739188718e+00,7.050096988677979e-03
1.760410843865553e+00,6.492808461189270e-03
1.908542144006682e+00,5.989193916320801e-03
2.069138081114790e+00,5.534961819648743e-03
2.243247502898416e+00,5.100771784782410e-03
2.432007513267950e+00,4.701867699623108e-03
2.636650898730355e+00,4.359856247901917e-03
2.858514179684466e+00,4.000395536422729e-03
3.099046339199427e+00,3.687217831611633e-03
3.359818286283774e+00,3.414332866668701e-03
3.642533115449638e+00,3.141701221466064e-03
3.949037229576694e+00,2.893880009651184e-03
4.281332398719396e+00,2.677068114280701e-03
4.641588833612772e+00,2.481207251548767e-03
5.032159359259978e+00,2.262026071548462e-03
5.455594781168514e+00,2.102822065353394e-03
5.914660544591734e+00,1.936674118041992e-03
6.412354795576917e+00,1.793667674064636e-03
6.951927961775591e+00,1.648142933845520e-03
7.536903980898542e+00,1.518726348876953e-03
8.171103315457186e+00,1.403838396072388e-03
8.858667904100797e+00,1.296013593673706e-03
9.604088212505369e+00,1.205220818519592e-03
1.041223256048302e+01,1.107499003410339e-03
1.128837891684688e+01,1.022875308990479e-03
1.223824936968190e+01,9.428113698959351e-04
1.326804749714724e+01,8.695721626281738e-04
1.438449888287660e+01,7.969290018081665e-04
1.559489504058283e+01,7.341653108596802e-04
1.690714103473578e+01,6.834119558334351e-04
1.832980710832430e+01,6.233453750610352e-04
1.987218465488053e+01,5.798041820526123e-04
2.154434690031878e+01,5.334466695785522e-04
2.335721469090121e+01,4.943013191223145e-04
2.532262781698789e+01,4.493296146392822e-04
2.745342233838714e+01,4.215985536575317e-04
2.976351441631313e+01,3.862380981445312e-04
3.226799119945812e+01,3.522187471389771e-04
3.498320935775033e+01,3.303736448287964e-04
3.792690190732238e+01,3.041028976440430e-04
4.111829402435828e+01,2.774149179458618e-04
4.457822860419697e+01,2.601742744445801e-04
4.832930238571752e+01,2.373903989791870e-04
5.239601353002634e+01,2.165585756301880e-04
5.680492161728429e+01,2.051442861557007e-04
6.158482110660255e+01,1.846551895141602e-04
6.676692939187544e+01,1.736134290695190e-04
7.238509068173248e+01,1.620650291442871e-04
7.847599703514591e+01,1.474767923355103e-04
8.507942799627445e+01,1.350641250610352e-04
9.223851039358458e+01,1.246035099029541e-04
1.000000000000000e+02,1.142024993896484e-04
1.084145868935833e+02,1.072138547897339e-04
1.175372265130632e+02,9.816884994506836e-05
1.274274985703132e+02,9.009242057800293e-05
1.381499961638318e+02,8.358061313629150e-05
1.497747476345200e+02,7.662177085876465e-05
1.623776739188717e+02,7.027387619018555e-05
1.760410843865553e+02,6.532669067382812e-05
1.908542144006682e+02,5.997717380523682e-05
2.069138081114790e+02,5.541741847991943e-05
2.243247502898416e+02,5.199015140533447e-05
2.432007513267940e+02,4.702806472778320e-05
2.636650898730355e+02,4.337728023529053e-05
2.858514179684466e+02,3.871321678161621e-05
3.099046339199427e+02,3.781914710998535e-05
3.359818286283774e+02,3.398954868316650e-05
3.642533115449638e+02,3.066658973693848e-05
3.949037229576693e+02,2.939999103546143e-05
4.281332398719396e+02,2.694129943847656e-05
4.641588833612773e+02,2.440810203552246e-05
5.032159359259978e+02,2.118945121765137e-05
5.455594781168514e+02,2.048909664154053e-05
5.914660544591734e+02,2.092123031616211e-05
6.412354795576917e+02,1.794099807739258e-05
6.951927961775591e+02,1.612305641174316e-05
7.536903980898542e+02,1.628696918487549e-05
8.171103315457186e+02,1.394748687744141e-05
8.858667904100796e+02,1.281499862670898e-05
9.604088212505369e+02,1.257658004760742e-05
1.041223256048302e+03,1.129508018493652e-05
1.128837891684688e+03,9.596347808837891e-06
1.223824936968190e+03,9.253621101379395e-06
1.326804749714724e+03,8.612871170043945e-06
1.438449888287660e+03,7.659196853637695e-06
1.559489504058277e+03,7.167458534240723e-06
1.690714103473578e+03,6.660819053649902e-06
1.832980710832430e+03,6.660819053649902e-06
1.987218465488053e+03,5.275011062622070e-06
2.154434690031878e+03,5.945563316345215e-06
2.335721469090121e+03,5.200505256652832e-06
2.532262781698789e+03,3.844499588012695e-06
2.745342233838714e+03,4.693865776062012e-06
2.976351441631313e+03,4.008412361145020e-06
3.226799119945798e+03,3.293156623840332e-06
3.498320935775032e+03,3.233551979064941e-06
3.792690190732238e+03,3.069639205932617e-06
4.111829402435828e+03,2.399086952209473e-06
4.457822860419697e+03,2.905726432800293e-06
4.832930238571752e+03,2.324581146240234e-06
5.239601353002634e+03,2.250075340270996e-06
5.680492161728429e+03,2.011656761169434e-06
6.158482110660255e+03,2.115964889526367e-06
6.676692939187543e+03,1.713633537292480e-06
7.238509068173247e+03,1.594424247741699e-06
7.847599703514591e+03,1.296401023864746e-06
8.507942799627444e+03,1.356005668640137e-06
9.223851039358458e+03,1.236796379089355e-06
1.000000000000000e+04,1.296401023864746e-06
